Article,Price,Image,Quantity,Categories
KOORUI 24 inch computer monitor FHD 1080p 165Hz,189.99,Amazon2.0\images\Article1.jpg,3,[Tech, Video-games]
Multitool,29.99,Amazon2.0\images\multitools.jpg,17,[Tools]
Batterie pack AA X4,7.99,Amazon2.0\images\fewbatteries.jpg,10,[Tools]
Blue Ocarina,39.99,Amazon2.0\images\ocarina.jpg,7,[Music]
Door,29.99,Amazon2.0\images\door.jpg,17,[Furnitures]
MP3 player,49.99,Amazon2.0\images\mp3player.jpg,9,[Tech, Music]
Box of Chocolates,9.99,Amazon2.0\images\boxofchocolates.jpg,9,[Food]
Plush rabbit,12.99,Amazon2.0\images\plushrabbit.jpg,17,[Toys]
Big standing mirror,159.99,Amazon2.0\images\mirror.jpg,6,[Furnitures]
Rentable child cage,449.99,Amazon2.0\images\Article2.png,1,[Furniture]
Cute rock,170000.00,Amazon2.0\images\rock.jpg,1,[Toys]
Pair of rubber gloves,5.99,Amazon2.0\images\pairofrubbergloves.jpg,22,[Kitchen]
Carton of Ice Cream,5.99,Amazon2.0\images\cartonoficecream.jpg,18,[Food]
Tea cup,12.99,Amazon2.0\images\teacup.jpg,21,[Kitchen]
Cucumber,1.49,Amazon2.0\images\cucumber.jpg,58,[Food]
Hamster cage,79.99,Amazon2.0\images\hamstercage.jpg,4,[Animals]
Wine glass,7.99,Amazon2.0\images\wineglass.jpg,9,[Kitchen]
Deck of playing cards,6.99,Amazon2.0\images\packofcards.jpg,12,[Toys]
Tire swing,59.99,Amazon2.0\images\tireswing.jpg,3,[Toys]
Black quilt,49.99,Amazon2.0\images\quilt.jpg,7,[Furnitures]
Harmonica,79.99,Amazon2.0\images\harmonica.jpg,17,[Music]
Box of pencils,6.99,Amazon2.0\images\pencils.jpg,28,[Tools, School]
Class Ring,149.99,Amazon2.0\images\classring.jpg,2,[Fashion]
Bag of Cotton Balls,2.99,Amazon2.0\images\bagofcottonballs.jpg,10,[Pharmacy, School]
Red Bandana,5.49,Amazon2.0\images\bandana.jpg,7,[Fashion]
Bar of Soap,1.99,Amazon2.0\images\barofsoap.jpg,20,[Pharmacy]
Beef,25.49,Amazon2.0\images\beef.jpg,11,[Food]
Blow Dryer,64.99,Amazon2.0\images\blowdryer.jpg,7,[Pharmacy]
Curling Iron,74.99,Amazon2.0\images\curlingiron.jpg,9,[Pharmacy]
Black note book,5.99,Amazon2.0\images\notebook.jpg,26,[School]
Book of Jokes,9.99,Amazon2.0\images\bookofjokes.jpg,7,[Toys, School]
Bottle of Sunscreen,7.99,Amazon2.0\images\bottleofsunscreen.jpg,9,[Pharmacy]
Bowl,4.49,Amazon2.0\images\bowl.jpg,8,[Kitchen]
Red buzzer,9.99,Amazon2.0\images\redbutton.jpg,12,[Toys]
Camera,139.99,Amazon2.0\images\camera.jpg,5,[Tech]
50$ Amazon Gift Card,50.00,Amazon2.0\images\amazongiftcard.jpg,6,[Gift-cards]
100$ Amazon Gift Card,100.00,Amazon2.0\images\amazongiftcard.jpg,9,[Gift-cards]
250$ Amazon Gift Card,250.00,Amazon2.0\images\amazongiftcard.jpg,7,[Gift-cards]
AC/DC t-shirt,29.99,Amazon2.0\images\acdctshirt.jpg,4,[Fashion, Music]
Gaming laptop,1329.99,Amazon2.0\images\computer.jpg,2,[Video-games, Tech]
50$ Mastercard gift card,50.00,Amazon2.0\images\mastercardgiftcard.jpg,6,[Gift-cards]
100$ Mastercard gift card,100.00,Amazon2.0\images\mastercardgiftcard.jpg,12,[Gift-cards]
250$ Mastercard gift card,250.00,Amazon2.0\images\mastercardgiftcard.jpg,5,[Gift-cards]
Electric sit stand desk,249.99,Amazon2.0\images\desk.jpg,4,[Furnitures, Tech, Video-games]
Domino Set,9.99,Amazon2.0\images\dominoset.jpg,5,[Toys]
Coca-Cola 12 pack,9.99,Amazon2.0\images\sodacan.jpg,14,[Food]
Fish Tank,79.99,Amazon2.0\images\fishtank.jpg,3,[Animals]
Fly Swatter,4.99,Amazon2.0\images\flyswatter.jpg,5,[Tools, Animals]
Game CD,39.99,Amazon2.0\images\gamecd.jpg,3,[Video-games]
Shovel,34.99,Amazon2.0\images\shovel.jpg,7,[Tools]
Black Hairbrush,9.99,Amazon2.0\images\hairbrush.jpg,7,[Pharmacy]
Hair Ties,2.99,Amazon2.0\images\hairties.jpg,10,[Fashion, Pharmacy]
Dog Food,39.99,Amazon2.0\images\dogfood.jpg,14,[Animals]
Little hand basket,9.99,Amazon2.0\images\handbasket.jpg,6,[Fashion, Kitchen, Furnitures]
Electric Guitar,1099.99,Amazon2.0\images\electricguitar.jpg,1,[Music]
Garden House,104.99,Amazon2.0\images\gardenhouse.jpg,8,[Toys]
Blue jeans,69.99,Amazon2.0\images\levisjeans.jpg,6,[Fashion]
Lemon,0.99,Amazon2.0\images\lemon.jpg,49,[Food]
Living room lamp,109.99,Amazon2.0\images\light.jpg,3,[Furnitures]
Light bulbs,6.99,Amazon2.0\images\lightbulbs.jpg,12,[Furnitures]
Cat Tree,119.99,Amazon2.0\images\cattree.jpg,3,[Furnitures, Animals]
Lip gloss,8.99,Amazon2.0\images\lipgloss.jpg,14,[Pharmacy]
Magnifying glass,9.99,Amazon2.0\images\magnifyingglass.jpg,9,[Tools]
Martini glass,7.99,Amazon2.0\images\martiniglass.jpg,16,[Kitchen]
Milk,4.99,Amazon2.0\images\milk.jpg,11,[Food]
Windshield washer,4.99,Amazon2.0\images\windshieldwasher.jpg,39,[Car]
Brake pads,29.99,Amazon2.0\images\brakepads.jpg,7,[Car]
Windshield Wipers,29.99,Amazon2.0\images\windshieldwiper.jpg,9,[Car]
Tennis Racket,49.99,Amazon2.0\images\tennisracket.jpg,1,[Sport]
Basketball,29.99,Amazon2.0\images\basketball.jpg,12,[Sport]
Paint Brush,6.99,Amazon2.0\images\paintbrush.jpg,12,[Furnitures, Tools]
Pair of Sunglasses,59.99,Amazon2.0\images\pairofglasses.jpg,8,[Fashion]
Car Mats,21.99,Amazon2.0\images\carmats.jpg,8,[Car]
Dumbbells,59.99,Amazon2.0\images\dumbbells.jpg,7,[Sport]
Ratchet Wrench,49.99,Amazon2.0\images\ratchetwrench.jpg,5,[Tools]
Pair of Socks,9.99,Amazon2.0\images\socks.jpg,8,[Fashion]
Picture Frame,19.99,Amazon2.0\images\pictureframe.jpg,6,[Furnitures]
Pillow,24.99,Amazon2.0\images\pillow.jpg,9,[Furnitures]
Ustensils,29.99,Amazon2.0\images\ustensils.jpg,8,[Kitchen]
Microfiber Towels,9.99,Amazon2.0\images\microfibertowels.jpg,18,[Car]
Scarf,12.49,Amazon2.0\images\scarf.jpg,8,[Fashion]
Car Wax,9.99,Amazon2.0\images\carwax.jpg,9,[Car]
Printer Paper,6.99,Amazon2.0\images\printerpaper.jpg,15,[School]
Shoes,79.99,Amazon2.0\images\shoes.jpg,8,[Fashion, Sport]
Spatula,7.99,Amazon2.0\images\spatula.jpg,8,[Kitchen]
Speakers,179.99,Amazon2.0\images\speakers.jpg,6,[Tech]
Bones,4.99,Amazon2.0\images\bones.jpg,17,[Animals]
Dog Bowl,14.99,Amazon2.0\images\dogbowl.jpg,9,[Animals]
Snow Brush,12.99,Amazon2.0\images\snowbrush.jpg,10,[Car]
Drawing Book,7.99,Amazon2.0\images\drawingbook.jpg,7,[School]
Book Shelf,109.99,Amazon2.0\images\bookshelf.jpg,9,[Furnitures]
Tennis Balls,5.99,Amazon2.0\images\tennisballs.jpg,14,[Sport]
Threads,2.99,Amazon2.0\images\threads.jpg,8,[Fashion]
Cat Toy,14.99,Amazon2.0\images\cattoy.jpg,13,[Toys, Animals]
